month,n_releases
2010 Feb,26
2010 Mar,34
2010 Apr,30
2010 May,27
2010 Jun,37
2010 Jul,29
2010 Aug,30
2010 Sep,38
2010 Oct,47
2010 Nov,53
2010 Dec,54
2011 Jan,77
2011 Feb,33
2011 Mar,43
2011 Apr,28
2011 May,33
2011 Jun,38
2011 Jul,34
2011 Aug,46
2011 Sep,53
2011 Oct,47
2011 Nov,62
2011 Dec,65
2012 Jan,84
2012 Feb,48
2012 Mar,46
2012 Apr,29
2012 May,39
2012 Jun,55
2012 Jul,39
2012 Aug,42
2012 Sep,58
2012 Oct,64
2012 Nov,64
2012 Dec,73
2013 Jan,80
2013 Feb,43
2013 Mar,57
2013 Apr,38
2013 May,54
2013 Jun,42
2013 Jul,32
2013 Aug,38
2013 Sep,68
2013 Oct,83
2013 Nov,81
2013 Dec,84
2014 Jan,107
2014 Feb,57
2014 Mar,63
2014 Apr,44
2014 May,47
2014 Jun,59
2014 Jul,43
2014 Aug,67
2014 Sep,66
2014 Oct,101
2014 Nov,100
2014 Dec,91
2015 Jan,85
2015 Feb,67
2015 Mar,57
2015 Apr,51
2015 May,58
2015 Jun,55
2015 Jul,47
2015 Aug,59
2015 Sep,66
2015 Oct,93
2015 Nov,94
2015 Dec,97
2016 Jan,94
2016 Feb,58
2016 Mar,43
2016 Apr,51
2016 May,63
2016 Jun,55
2016 Jul,38
2016 Aug,46
2016 Sep,73
2016 Oct,90
2016 Nov,90
2016 Dec,92
2017 Jan,112
2017 Feb,59
2017 Mar,66
2017 Apr,72
2017 May,56
2017 Jun,55
2017 Jul,61
2017 Aug,64
2017 Sep,66
2017 Oct,79
2017 Nov,86
2017 Dec,115
2018 Jan,93
2018 Feb,60
2018 Mar,69
2018 Apr,42
2018 May,50
2018 Jun,68
2018 Jul,54
2018 Aug,89
2018 Sep,65
2018 Oct,98
2018 Nov,95
2018 Dec,147
2019 Jan,88
2019 Feb,72
2019 Mar,73
2019 Apr,84
2019 May,76
2019 Jun,63
2019 Jul,46
2019 Aug,80
2019 Sep,73
2019 Oct,107
2019 Nov,92
2019 Dec,130
